gross,genres,month,year,imdb_score
137850096,Family,11,2009,6.8
137850096,Fantasy,11,2009,6.8
47375327,Action,1,2015,5.4
47375327,Adventure,1,2015,5.4
47375327,Sci-Fi,1,2015,5.4
124051759,Action,6,2016,6.6
124051759,Action,6,2016,6.6
124051759,Adventure,6,2016,6.6
124051759,Adventure,6,2016,6.6
124051759,Drama,6,2016,6.6
124051759,Drama,6,2016,6.6
124051759,Romance,6,2016,6.6
124051759,Romance,6,2016,6.6
291709845,Adventure,12,2005,6.9
291709845,Family,12,2005,6.9
291709845,Fantasy,12,2005,6.9
154985087,Action,5,2016,7.3
154985087,Adventure,5,2016,7.3
154985087,Sci-Fi,5,2016,7.3
533316061,Action,7,2008,9
533316061,Crime,7,2008,9
533316061,Drama,7,2008,9
533316061,Thriller,7,2008,9
292979556,Adventure,5,2009,8.3
292979556,Animation,5,2009,8.3
292979556,Comedy,5,2009,8.3
292979556,Family,5,2009,8.3
198332128,Action,3,2009,6.5
198332128,Adventure,3,2009,6.5
198332128,Animation,3,2009,6.5
198332128,Comedy,3,2009,6.5
198332128,Family,3,2009,6.5
198332128,Sci-Fi,3,2009,6.5
318298180,Action,4,2008,7.9
318298180,Adventure,4,2008,7.9
318298180,Sci-Fi,4,2008,7.9
73820094,Adventure,10,2011,7.5
73820094,Drama,10,2011,7.5
73820094,Family,10,2011,7.5
73820094,Mystery,10,2011,7.5
113745408,Action,6,1999,4.8
113745408,Comedy,6,1999,4.8
113745408,Sci-Fi,6,1999,4.8
113745408,Western,6,1999,4.8
102176165,Action,7,2008,5.2
102176165,Adventure,7,2008,5.2
102176165,Fantasy,7,2008,5.2
102176165,Horror,7,2008,5.2
102176165,Thriller,7,2008,5.2
161087183,Action,8,2016,6.9
161087183,Adventure,8,2016,6.9
161087183,Comedy,8,2016,6.9
161087183,Sci-Fi,8,2016,6.9
100289690,Comedy,6,2007,5.4
100289690,Family,6,2007,5.4
100289690,Fantasy,6,2007,5.4
100189501,Action,5,2014,7.9
100189501,Adventure,5,2014,7.9
100189501,Sci-Fi,5,2014,7.9
88246220,Action,7,1995,6.1
88246220,Adventure,7,1995,6.1
88246220,Sci-Fi,7,1995,6.1
88246220,Thriller,7,1995,6.1
150167630,Action,7,2009,5.8
150167630,Adventure,7,2009,5.8
150167630,Sci-Fi,7,2009,5.8
150167630,Thriller,7,2009,5.8
356454367,Adventure,5,2015,8.3
356454367,Animation,5,2015,8.3
356454367,Comedy,5,2015,8.3
356454367,Drama,5,2015,8.3
356454367,Family,5,2015,8.3
356454367,Fantasy,5,2015,8.3
362645141,Adventure,4,2016,7.8
362645141,Adventure,4,2016,7.8
362645141,Drama,4,2016,7.8
362645141,Drama,4,2016,7.8
362645141,Family,4,2016,7.8
362645141,Family,4,2016,7.8
362645141,Fantasy,4,2016,7.8
362645141,Fantasy,4,2016,7.8
312057433,Action,4,2010,7
312057433,Adventure,4,2010,7
312057433,Sci-Fi,4,2010,7
155111815,Action,5,2012,6.1
155111815,Adventure,5,2012,6.1
155111815,Drama,5,2012,6.1
155111815,Fantasy,5,2012,6.1
241407328,Action,5,2014,7
241407328,Adventure,5,2014,7
241407328,Family,5,2014,7
241407328,Fantasy,5,2014,7
241407328,Romance,5,2014,7
208543795,Action,6,2014,7.6
208543795,Adventure,6,2014,7.6
208543795,Drama,6,2014,7.6
208543795,Sci-Fi,6,2014,7.6
38297305,Action,12,2013,6.3
38297305,Adventure,12,2013,6.3
38297305,Drama,12,2013,6.3
38297305,Fantasy,12,2013,6.3
259746958,Action,3,2014,7.8
259746958,Adventure,3,2014,7.8
259746958,Sci-Fi,3,2014,7.8
238371987,Adventure,4,2010,6.4
238371987,Animation,4,2010,6.4
238371987,Comedy,4,2010,6.4
238371987,Family,4,2010,6.4
238371987,Fantasy,4,2010,6.4
93417865,Action,5,2015,6.5
93417865,Adventure,5,2015,6.5
93417865,Family,5,2015,6.5
93417865,Mystery,5,2015,6.5
93417865,Sci-Fi,5,2015,6.5
222487711,Action,10,2014,7.9
222487711,Adventure,10,2014,7.9
222487711,Animation,10,2014,7.9
222487711,Comedy,10,2014,7.9
222487711,Drama,10,2014,7.9
222487711,Family,10,2014,7.9
222487711,Sci-Fi,10,2014,7.9
189412677,Adventure,11,2012,7.8
189412677,Animation,11,2012,7.8
189412677,Comedy,11,2012,7.8
189412677,Family,11,2012,7.8
189412677,Sci-Fi,11,2012,7.8
665426,Adventure,10,2004,6.6
665426,Animation,10,2004,6.6
665426,Family,10,2004,6.6
665426,Fantasy,10,2004,6.6
102315545,Action,6,2016,5.5
102315545,Adventure,6,2016,5.5
102315545,Sci-Fi,6,2016,5.5
217387997,Adventure,3,2010,8.2
217387997,Animation,3,2010,8.2
217387997,Family,3,2010,8.2
217387997,Fantasy,3,2010,8.2
150350192,Action,6,2003,6.4
150350192,Sci-Fi,6,2003,6.4
333130696,Action,7,2014,8.1
333130696,Adventure,7,2014,8.1
333130696,Sci-Fi,7,2014,8.1
187991439,Adventure,10,2014,8.6
187991439,Drama,10,2014,8.6
