genres,plot_keyword
Romance,king
Romance,kingdom
Action,ape
Action,dam
Action,leader
Action,post apocalypse
Action,sequel
Adventure,ape
Adventure,dam
Adventure,leader
Adventure,post apocalypse
Adventure,sequel
Drama,ape
Drama,dam
Drama,leader
Drama,post apocalypse
Drama,sequel
Sci-Fi,ape
Sci-Fi,dam
Sci-Fi,leader
Sci-Fi,post apocalypse
Sci-Fi,sequel
Action,box office flop
Action,ronin
Action,samurai
Action,shogun
Action,tournament
Adventure,box office flop
Adventure,ronin
Adventure,samurai
Adventure,shogun
Adventure,tournament
Drama,box office flop
Drama,ronin
Drama,samurai
Drama,shogun
Drama,tournament
Fantasy,box office flop
Fantasy,ronin
Fantasy,samurai
Fantasy,shogun
Fantasy,tournament
Action,conspiracy
Action,heroism
Action,megalomaniac
Action,super soldier
Action,world domination
Adventure,conspiracy
Adventure,heroism
Adventure,megalomaniac
Adventure,super soldier
